Treatment,Outcome,N,OLS_Beta,OLS_p,OLS_CI_Lower,OLS_CI_Upper,AIPW_ATE,AIPW_p,AIPW_CI_Lower,AIPW_CI_Upper,N_Treated,N_Control,Outcome_Mean,Outcome_Median,Outcome_Control_Mean,Absolute_Change_ATE,Relative_Change_Pct_vs_ControlMean,Relative_Change_CI_Lower_Pct,Relative_Change_CI_Upper_Pct,E_Value,E_Value_CI
mo1_genai_composite_score,dv15_preventable_stays_rate,3064,-29.883489228373463,0.18917319182905323,-74.49070252406241,14.723724067315487,-91.06202688790563,0.2834331337325349,-253.90591014283177,82.17857928494416,570,2494,2842.4503916449084,2742.5,2879.779069767442,-91.06202688790563,-3.162118505683125,-8.816853793000728,2.853641800083662,1.3539994378665177,1.331189076662665
mo11_ai_staff_scheduling_pct,dv15_preventable_stays_rate,3064,-0.8284113328191225,0.30362473394790734,-2.406782114309094,0.749959448670849,-66.0289658135107,0.47105788423153694,-235.92506619619124,117.27525465106733,299,2765,2842.4503916449084,2742.5,2859.2010849909584,-66.0289658135107,-2.3093501943645034,-8.251433151541956,4.101679146202415,1.2927536620108753,1.426070361186869
mo12_ai_predict_staff_needs_pct,dv15_preventable_stays_rate,3064,-0.36279377061171725,0.6694325867454342,-2.02833126255022,1.3027437213267854,-95.14571243921046,0.2714570858283433,-265.66003024524554,72.51614295935448,318,2746,2842.4503916449084,2742.5,2861.313182811362,-95.14571243921046,-3.3252463592861847,-9.284549200735281,2.534365807803824,1.3693688500492947,1.30981420086394
mo13_ai_predict_patient_demand_pct,dv15_preventable_stays_rate,3064,-0.26458106933107806,0.7604411698159884,-1.9653577434909337,1.4361956048287778,-152.9196526037349,0.059880239520958084,-357.73955848432985,5.733311732939472,336,2728,2842.4503916449084,2742.5,2862.5967741935483,-152.9196526037349,-5.341990670230371,-12.497029330479572,0.20028359511285562,1.5109633451908682,1.0722719735275679
mo14_ai_automate_routine_tasks_pct,dv15_preventable_stays_rate,3064,-1.5425132487924345,0.013777615281856318,-2.7699831607509746,-0.3150433368338943,-206.54010126311732,0.003992015968063872,-339.42814859626753,-47.81139090221769,416,2648,2842.4503916449084,2742.5,2871.325151057402,-206.54010126311732,-7.193197927690506,-11.821306565411751,-1.6651332881826546,1.6317961943516681,1.2377585907794417
mo15_ai_optimize_workflows_pct,dv15_preventable_stays_rate,3064,-1.031956026756649,0.11307520620156232,-2.3084279975183204,0.24451594400502263,-105.49017329675235,0.3193612774451098,-298.182948693963,109.26010788930677,452,2612,2842.4503916449084,2742.5,2865.1734303215926,-105.49017329675235,-3.6818076064914482,-10.407151816303642,3.8133854911897322,1.393133412378238,1.4024890685373474
sp5_irr_county_value,mo1_genai_composite_score,3131,-0.6389826467063975,0.16150809667950816,-1.5335307719134068,0.25556547850061184,-0.10481608958959385,0.2275449101796407,-0.292418025327137,0.05108103136472814,1511,1620,0.3067083414528195,0.0,0.4662369241288752,-0.10481608958959385,-22.481293129117557,-62.718761683986244,10.956024441901247,1.4283656056525382,1.268830989569717
sp5_irr_county_value,mo11_ai_staff_scheduling_pct,3131,-29.475200223079252,0.008880555675484401,-51.55344084097882,-7.396959605179681,-1.8668422504264557,0.2874251497005988,-6.019242307667238,1.44342999189712,1511,1620,5.773399641260675,0.0,8.83449931416253,-1.8668422504264557,-21.131273930076976,-68.13337228990248,16.338560234909597,1.351445572678863,1.2979719174424844
sp5_irr_county_value,mo12_ai_predict_staff_needs_pct,3131,-35.50380504742351,0.007378982824449919,-61.4761777284279,-9.531432366419121,-2.6377502277982074,0.1437125748502994,-6.537649931698691,0.5830320110605598,1511,1620,6.1770609439327675,0.0,9.764191673523081,-2.6377502277982074,-27.01452732591088,-66.95536251532636,5.971124190869066,1.4311585476687676,1.1685800904852983
sp5_irr_county_value,mo13_ai_predict_patient_demand_pct,3131,-37.68933314507728,0.0006264096633431667,-59.28921502925492,-16.089451260899633,-2.6970856016781513,0.1317365269461078,-6.5348812599902235,0.5101926764885861,1511,1620,6.679296817537134,0.0,10.552027535796887,-2.6970856016781513,-25.55988024603338,-61.93010052164075,4.8350203291054665,1.427264915357088,1.1529751810267286
sp5_irr_county_value,mo14_ai_automate_routine_tasks_pct,3131,-38.05108872988671,0.010825588566145078,-67.31741572099267,-8.784761738780748,-1.67594090543162,0.41916167664670656,-5.654662007843682,1.8605504109965172,1511,1620,8.70339565536139,0.0,13.731400074195776,-1.67594090543162,-12.205171332682017,-41.18052039332825,13.549604562850714,1.2880792193445811,1.3077307589632488
sp5_irr_county_value,mo15_ai_optimize_workflows_pct,3131,-40.17895234864781,0.0018057130085370032,-65.41542442996058,-14.94248026733505,-1.8997074593771117,0.38323353293413176,-6.520206825943538,2.293599423695175,1511,1620,9.665618488646153,0.0,15.53996377800985,-1.8997074593771117,-12.224658220023217,-41.95767068112535,14.7593614532151,1.3007942216400747,1.339347818721886
mo2_robotics_composite_score,dv15_preventable_stays_rate,3064,0.997627066470983,0.8814454701642919,-12.11321810658769,14.108472239529656,-136.81240370328715,0.043912175648702596,-259.98911922926635,-13.403129362416328,936,2128,2842.4503916449084,2742.5,2901.9172932330825,-136.81240370328715,-4.714552134973557,-8.959218783923625,-0.461871514866078,1.4559415919471124,1.1114867376834163
mo21_robotics_in_hospital_pct,dv15_preventable_stays_rate,3064,0.2018229884101146,0.7232296394086493,-0.9151345403115407,1.31878051713177,-12.43700696141741,0.8662674650698603,-137.7906130280773,123.80769764550762,773,2291,2842.4503916449084,2742.5,2884.1645569620255,-12.43700696141741,-0.43121696823421446,-4.777487910510078,4.292671073384172,1.1080190063987065,1.430897305465761
mo1_genai_composite_score,dv21_premature_death_ypll_rate,2898,-45.77168250987086,0.10018976904194421,-100.34250561196262,8.799140592220901,-291.99052905220015,0.015968063872255488,-529.388000890075,-52.40972985544862,567,2331,9928.91504538084,9462.1640625,10298.80826990495,-291.99052905220015,-2.8351875420911687,-5.140284069925314,-0.508891208399322,1.3659993462629683,1.1302622560484847
mo11_ai_staff_scheduling_pct,dv21_premature_death_ypll_rate,2898,-1.293859166813237,0.18999718260974385,-3.2288062581016144,0.64108792447514,-59.76130229606497,0.6227544910179641,-310.9243904295595,155.7802663446271,297,2601,9928.91504538084,9462.1640625,10096.984257575963,-59.76130229606497,-0.591872788661871,-3.079378777839204,1.5428395486280189,1.1415734013290226,1.2484249647595578
mo12_ai_predict_staff_needs_pct,dv21_premature_death_ypll_rate,2898,-1.60100868102956,0.19241629335659582,-4.0083775132652715,0.8063601512061518,32.44737028377676,0.8662674650698603,-234.5669467308563,280.63598442418044,317,2581,9928.91504538084,9462.1640625,10116.685429581557,32.44737028377676,0.32073123662518427,-2.3186146130922882,2.7739914063512403,1.100655662132243,1.320493633414284
mo13_ai_predict_patient_demand_pct,dv21_premature_death_ypll_rate,2898,-2.032777028438331,0.06661726180815794,-4.204877435292083,0.13932337841542042,-161.5946237592525,0.2275449101796407,-451.57551697426675,95.07454809109132,335,2563,9928.91504538084,9462.1640625,10141.24266282646,-161.5946237592525,-1.5934400657977603,-4.452861764461598,0.937503925821583,1.2539310688280743,1.1848328183751518
mo14_ai_automate_routine_tasks_pct,dv21_premature_death_ypll_rate,2898,-2.2631714564619,0.01937611435447091,-4.160231886071165,-0.36611102685263486,-457.51305393257644,0.003992015968063872,-882.699672623618,-111.49902835219613,414,2484,9928.91504538084,9462.1640625,10209.486469557512,-457.51305393257644,-4.48125432456159,-8.645877295157186,-1.0921120144941883,1.4997909975178088,1.2021636228431838
mo15_ai_optimize_workflows_pct,dv21_premature_death_ypll_rate,2898,-1.702813976497303,0.03773731994308637,-3.309138113338479,-0.0964898396561269,-264.4938802457491,0.015968063872255488,-455.2015115505639,-56.23416404246474,450,2448,9928.91504538084,9462.1640625,10208.404394212112,-264.4938802457491,-2.5909424238298198,-4.459085807853095,-0.5508614458332781,1.3443585027716125,1.1359606628150054
mo2_robotics_composite_score,dv21_premature_death_ypll_rate,2898,-25.900831618216728,9.755387507777562e-05,-38.92878942512689,-12.872873811306567,-347.9166340204738,0.003992015968063872,-504.21693990661294,-173.41035445467912,936,1962,9928.91504538084,9462.1640625,10521.973732733459,-347.9166340204738,-3.306571968889434,-4.792037622542368,-1.6480781919765313,1.4070601312256965,1.2601893667476842
mo21_robotics_in_hospital_pct,dv21_premature_death_ypll_rate,2898,-2.4626876525342514,0.000373658005145157,-3.8192782205644504,-1.1060970845040523,-384.9560521581152,0.003992015968063872,-587.8936227742469,-141.35992547948626,773,2125,9928.91504538084,9462.1640625,10452.04071047794,-384.9560521581152,-3.6830707306010133,-5.624677888834632,-1.3524624462835861,1.4409470181120996,1.2319988121728864
mo1_genai_composite_score,ct5_ypll_per_100k_mid,2896,68.8035693823943,0.26350232384963834,-51.79952094819505,189.40665971298364,457.6682789307797,0.5508982035928144,-454.72632560952576,1493.107993313231,567,2329,5513.49939273487,4343.485093509878,5997.3332995670735,457.6682789307797,7.631196334607869,-7.582141977040877,24.89619833903534,1.4305985282900837,1.4287101609562096
mo11_ai_staff_scheduling_pct,ct5_ypll_per_100k_mid,2896,3.379017129080399,0.13098298920878237,-1.0062233110733745,7.764257569234172,47.11072022749249,1.0,-655.8615211435293,643.5454062733091,297,2599,5513.49939273487,4343.485093509878,5746.863863517597,47.11072022749249,0.8197639851286906,-11.41251187986352,11.198201689771741,1.110621321660495,1.5625040784493516
mo12_ai_predict_staff_needs_pct,ct5_ypll_per_100k_mid,2896,2.9328234546476266,0.2289644475640671,-1.845299355970233,7.710946265265486,-280.56430914683096,0.4031936127744511,-1047.3849705366551,417.0128855598478,317,2579,5513.49939273487,4343.485093509878,5784.050514027236,-280.56430914683096,-4.850654545053128,-18.108157388954005,7.209703382578104,1.3157882322239607,1.4094808431284456
mo13_ai_predict_patient_demand_pct,ct5_ypll_per_100k_mid,2896,4.2953562139171,0.07844175836073189,-0.4885649560508165,9.079277383885017,173.8794090445199,0.8982035928143712,-684.8647944118214,769.5621815538524,335,2561,5513.49939273487,4343.485093509878,5790.878015199466,173.8794090445199,3.0026432708154815,-11.826614075002775,13.289214166383106,1.234289649155543,1.5793922282116437
mo14_ai_automate_routine_tasks_pct,ct5_ypll_per_100k_mid,2896,2.48271951851033,0.18852727881867382,-1.2178372593893267,6.183276296409987,-376.00287951638074,0.13972055888223553,-944.1710357082271,154.43897784117382,414,2482,5513.49939273487,4343.485093509878,5876.6705581986125,-376.00287951638074,-6.39822967431473,-16.066427858390036,2.628001285961388,1.3791143854888785,1.2168568030881368
mo15_ai_optimize_workflows_pct,ct5_ypll_per_100k_mid,2896,3.483598341870005,0.12073374936253112,-0.9165577851712889,7.883754468911299,588.1682646268118,0.6307385229540918,-502.09746627619046,1794.1879707946741,450,2446,5513.49939273487,4343.485093509878,5891.455016976594,588.1682646268118,9.983412636300683,-8.522469658672865,30.454072306834384,1.516274500177017,1.4619564517954162
mo2_robotics_composite_score,ct5_ypll_per_100k_mid,2896,-13.880722277555888,0.3392959859116381,-42.35177069336734,14.590326138255568,-201.70648987970435,0.3992015968063872,-696.4694589317995,281.5085420626608,936,1960,5513.49939273487,4343.485093509878,6481.77818877023,-201.70648987970435,-3.1119005310790118,-10.745036911914733,4.3430758329616745,1.2458428013114031,1.3024454700714863
mo21_robotics_in_hospital_pct,ct5_ypll_per_100k_mid,2896,1.1771318408023066,0.4060387879881098,-1.5995905043054957,3.953854185910109,-380.42110367588066,0.19161676646706588,-920.9488855605783,202.0812873029798,773,2123,5513.49939273487,4343.485093509878,6336.161461287396,-380.42110367588066,-6.003967954418033,-14.534807725266802,3.189332982400364,1.3723291331328662,1.2492266574816553
